Genus, V1, V2, V3, V4, V5, V6, V7, V8, V9
Christensenellaceae R-7 group,1.6706254933089723e-07,8.920015069669973e-05,0.03775267918047249,0.9621438801269673,1.230421799461888e-06,1.4953153771876247e-06,3.206540198623707e-06,7.1038523461969026e-06,1.0305665580386812e-06
Paenarthrobacter,9.67582854897425e-08,2.1989785571839808e-07,1.6601588869645506e-05,0.9999807409386788,3.7201012522555845e-07,9.800715146603163e-07,3.1050172059033975e-07,2.92719575342484e-07,3.818393747992195e-07
Selenomonas 1,2.8500532612731177e-07,1.2083461472663106e-07,0.00015893702026939443,0.9998397647636984,4.5908625299423645e-07,1.0405994818844793e-07,9.85842257193206e-08,8.929096615217942e-08,1.4033506859004482e-07
[Ruminococcus] torques group,5.8651239805808886e-08,5.927588076407635e-07,0.04665872610347065,0.9532125983414206,1.2300490587450029e-05,4.453943940867195e-06,0.00010811781361113713,3.1457319938012137e-06,3.5914613925923304e-09
Enterobacter,0.012916507933826621,0.4612441578699326,0.019144144247331116,0.5066822853712678,3.6020983542444956e-06,1.2265884212132093e-06,4.623841520618497e-06,1.290274476886171e-06,1.0154111111897703e-06
Paracoccus,1.8983978553328637e-06,4.397608926888625e-06,0.0003095850243803783,0.9996777755844587,1.9007665451783885e-06,1.1421639651533599e-06,8.675527528553008e-07,2.2002862832255126e-06,1.984686803642721e-07
Streptomyces,1.531151566176482e-07,3.335882253474926e-06,0.018630470340111796,0.9813594906144127,9.045357883552839e-08,2.2663255386927035e-07,1.7924231666722214e-07,1.2472229079082352e-06,4.802385224541416e-06
Blastopirellula,0.0003570979859911271,0.005266542168945278,0.41158302501169197,0.5824996993735484,6.763993445277492e-05,5.692576884295775e-05,5.1131219503875555e-05,6.848483876790064e-05,3.441282766276709e-05
Loktanella,7.257220930044646e-06,2.6826380150208652e-05,0.00018822230819956834,0.9997383457856149,5.276978977226597e-06,4.316238371881895e-06,3.805363212557904e-06,2.2124591213041082e-05,3.220296633602253e-06
Pseudomonas,0.003000472086094873,0.17774617679099866,0.7924562288922973,0.026348998721805083,0.0001034538018850212,9.45690821561829e-05,9.950574497229318e-05,4.8041016547789875e-05,0.00010004497157982716
Aeromonas,0.009581625179883677,0.6660854350151536,0.02328568312076359,0.30103946754419453,1.561231555054383e-07,3.261477269880166e-07,1.1242026013809917e-07,5.7836758078404915e-06,1.3351012007085207e-06
Agathobacter,1.379836975315518e-08,1.3992026505042683e-06,0.0631831912715114,0.9368076522048592,6.86752953076612e-08,6.072160478284099e-06,1.091283196032084e-06,4.808551663768178e-07,2.987871905265233e-08
Bacteroides,2.3006638803479528e-08,1.0975779327921455e-06,0.02707506269700524,0.9729229094309457,5.992320350161227e-08,5.5228581501316245e-08,9.79226358663631e-08,4.7569382663720897e-07,2.1696316946222618e-07
Coleofasciculus PCC-7420,3.152863113909708e-06,2.410970095148133e-05,0.12539072288754555,0.8745427247826646,9.878933664432786e-06,1.1642131679288477e-05,6.1790577295794715e-06,1.1323729417260335e-05,1.0565488426867666e-07
Acinetobacter,0.002009366588098798,0.026872515507040638,0.17183953875755853,0.7991886078084839,7.570837012601792e-05,1.1198269923850672e-06,4.303911937563431e-07,3.815643091323924e-06,4.62387384174181e-06
Clostridium sensu stricto 1,3.073707755258178e-05,0.00027349871158821755,0.0073168054432840674,0.9923709828934476,7.424422645865351e-07,3.891597416698354e-07,1.1248036984372337e-07,6.658968256990586e-06,7.025407960310659e-08
Serratia,0.020333922716650334,0.7852453752385518,0.03436852474822348,0.15921934492117015,0.0008247047688141624,1.5317049287292415e-06,1.1215417549007971e-06,1.2708041320626162e-06,1.4920023216598464e-06
Microbacterium,5.060443253300299e-08,1.79207936643692e-06,0.014439160752357828,0.985557993245959,8.831196032911724e-08,2.7855605575479467e-07,7.863032456499553e-08,2.0618631416188038e-07,3.4751145513197705e-07
CL500-29 marine group,0.00010767810619674494,0.017188774685199092,0.1152467544877633,0.8670827700082978,3.7545056057858395e-05,3.247106326125549e-05,5.388170875903298e-05,0.00019705222439592168,4.958865216827683e-05
Candidatus Nitrosopumilus,5.028749746022432e-06,0.037236691414650365,0.02381419906712769,0.679414944792575,0.25950287485698126,1.5884514038386172e-06,5.655770869858612e-06,1.800631378463985e-05,7.882921512448898e-07
Corynebacterium 1,1.1879746440090478e-08,3.145289407885568e-05,7.506901961678654e-06,0.9999607782454498,2.1446380678478576e-08,4.776666798416705e-08,1.6947495453405108e-08,1.6156105787265365e-07,1.5671355111315604e-09
Staphylococcus,0.0009078342600412003,0.01683340341970139,0.0030144673831529497,0.9784609491795907,9.98708110247912e-06,0.0007714592787347527,5.312198393379645e-07,1.3037623438867107e-06,3.355149782147854e-08
Parasutterella,1.7216095339018892e-05,0.03953908774866593,0.0804900431150478,0.8799104078477271,1.506328290800832e-05,3.526843591922087e-06,5.078872257049208e-06,9.188976078818044e-06,7.374929341449489e-06
Lactobacillus,8.658450398231485e-05,0.008284769575480877,0.051807544488850284,0.9368025162799111,0.0014143046773746931,8.872501958372069e-05,0.00015075159002661293,8.462748531353453e-05,0.0012799227383340239
Halomonas,0.003437012735865904,0.16894786397712555,0.14115136252630225,0.6857673758666499,0.0006860219048357004,8.887293740056561e-07,1.1828567385877434e-06,7.012878045965415e-06,1.1914122885820364e-06
Alistipes,4.216669244906922e-07,0.009092441789712066,0.04065492398183096,0.9502505179508678,5.651954826593276e-08,7.025620508552257e-08,4.343950328544706e-08,4.1079190385800966e-07,1.1010677980459166e-06
Sulfurimonas,0.001446390992693969,0.03816987271598862,0.8560787657766584,0.10423514578869589,1.5241612648669902e-05,2.6474133780505512e-06,2.0004002822028736e-06,4.384306982393844e-05,1.7132380760304002e-06
Methanobrevibacter,5.665046863205485e-06,0.0010262615285273331,0.05422240638392973,0.9006823204908306,0.04365497112364121,0.00040022371623672364,6.5408881756691055e-06,1.4137362937393121e-06,1.6284092310843792e-08
Lachnospiraceae NK3A20 group,2.3319891829993669e-07,5.86177253985196e-07,0.09093751456919366,0.9090614285938095,3.169628369264571e-08,8.6740042094589e-09,3.4660665606341644e-08,1.5271910007040024e-07,8.84548570979854e-09
Shewanella,0.006769092800477688,0.32011673896747106,0.016680447136409492,0.6564319709721991,2.571931718897016e-07,2.4563584074922284e-07,1.4267069727859992e-07,2.9683113464264054e-07,2.742473727400412e-07
Subgroup 10,0.0018355012875635524,0.0008761746573008601,0.01296408089429335,0.9805918250677308,0.0007036028879282145,0.0006919640548403332,0.0004552627071978261,0.0005042430359976121,0.0013676079884889717
Planktomarina,8.556177419797348e-06,3.518688718356202e-05,9.229815619005585e-05,0.9998474693553826,3.0274006772684457e-06,4.43922328698414e-06,3.248812514596748e-06,3.4727512651077504e-06,1.8123471384873975e-06
Lachnospiraceae NC2004 group,1.1036774174145742e-06,0.0005073080116978083,0.3409374536445075,0.6585489553940556,2.1229022335790465e-06,4.7064441625775955e-07,2.3213994751247576e-06,2.620308521734572e-07,1.678853777769968e-09
Lachnoclostridium,2.1128216624941281e-07,1.495789579914937e-06,0.04339622025124611,0.9566006972574806,6.838671045513626e-07,4.998766811978017e-08,4.602398166502123e-07,1.805790794189153e-07,6.049668975457879e-10
Caldicellulosiruptor,3.8230084423695675e-07,1.4361532528660026e-06,0.03029176880751897,0.9696515111274933,5.51377096498091e-06,4.3390692428016325e-06,1.0436578783657594e-05,1.488956767911465e-05,1.968969817517799e-05
Hymenobacter,2.5150402363140407e-07,8.336652124212029e-07,0.07093980184032321,0.9290527521813821,2.5671645808069884e-07,1.4433217935051434e-07,1.0826619514229114e-07,5.496676191655301e-06,3.438646499773329e-07
Saccharofermentans,1.5797970320786244e-08,3.3952755739092604e-06,0.1672590042950527,0.8327307313546946,5.003824224152338e-06,1.78079325278857e-07,1.2917992647981214e-06,2.403819649802576e-07,1.3826566598319387e-07
Lachnospiraceae UCG-008,1.882266917888749e-07,4.056921886356882e-06,0.09850542769713495,0.9014900677829958,1.2199657418380561e-07,3.5915359835300555e-08,3.361933231111973e-08,6.646221745146347e-08,8.360414000576369e-10
Marinifilum,3.967157208468689e-06,0.0007603266885409866,0.0221109772266565,0.9770000966084684,3.1528734848623603e-06,1.0980281801778627e-05,2.7991006323766876e-06,0.00010561016664190335,1.948497689676166e-06
Candidatus Accumulibacter,4.941990472156662e-05,0.0010451798244394252,0.09960601646716682,0.8991751247781488,1.4186775913435878e-05,3.0379274759248436e-05,1.0356078461407368e-05,3.616946639595733e-05,3.166854965383624e-05
Lachnospiraceae ND3007 group,5.41275214912655e-09,9.08922424986812e-06,0.08495190322758227,0.9150381486388047,7.458590404987504e-07,6.919298950491176e-08,3.387938498210574e-08,4.0063876365901945e-09,4.5632910330791283e-10
Rubrobacter,1.186339207489239e-05,0.00027807855577257793,0.039183735268657066,0.959440541414661,0.0002709392848918239,7.208655891218052e-05,0.0004170845563686031,0.0003116466593689091,1.2887015741524751e-05
Pontibacter,0.0002836698193755837,0.014290542919240352,0.0964528841111935,0.8868987528739003,0.0004830356155377984,0.0002553247836754069,0.0002772002731694241,0.0004204898451270255,0.0006165430131315935
Akkermansia,4.9609846511946794e-06,0.012102099503926388,0.9751763396316403,0.0125381716245289,3.924153052315372e-05,9.73143927724365e-06,9.147466913817825e-06,0.00011980806329826182,1.7915353040251353e-07
metagenome,0.0003363410458169976,0.039534806423836014,0.1780956380529252,0.7723775567234092,0.0031435391826873864,0.003169125045427585,0.0006508828064083787,0.001647879305101444,0.0010316736095634705
Ruminococcus 1,5.980942696559252e-06,0.01499634388846599,0.18164087667785267,0.8033553888216698,3.3116548275281185e-07,1.833282640726687e-07,1.8626486283478123e-07,6.69237934826141e-07,1.1684891570822926e-08
Pseudoalteromonas,0.02822080437000201,0.38075113505799973,0.024084968601138776,0.5669293592461542,2.2812674278379268e-07,2.297823512613507e-07,9.9166272608415e-08,1.2969758657814773e-05,4.9426404149860925e-08
Micrococcus,6.57094851461283e-05,3.520153640345728e-06,0.01209472837625491,0.9859294702894006,4.1229236544395055e-06,1.1547492490174779e-05,8.957342707256173e-06,0.0018735634926678145,8.26723892055563e-06
Sphingobacterium,2.5896169441458863e-07,5.234538990801239e-07,0.03005942596600778,0.969938321825924,1.619844008710603e-08,2.0064353149754763e-07,3.2307154139171793e-07,7.910127015854472e-07,1.339305857538292e-07
Comamonas,3.2058798520068275e-05,0.022494482315985158,0.08411068617078471,0.8829366207681465,3.405052122770786e-05,3.330525812146254e-05,5.562932116942935e-05,0.010297510489081205,3.4780067459035404e-06
A2,3.645055645454831e-08,9.424955802935293e-08,0.06521825225299971,0.9347815217090862,2.8554141623973207e-08,1.3951746121213492e-08,1.2769330253429774e-08,3.4527440683319356e-08,5.030276118569001e-09
Ruminococcaceae UCG-014,0.0003545343784824568,0.007487498375610569,0.8292224935543189,0.16293048486944056,2.716686807247972e-07,3.7430143866506296e-06,1.5731468789247505e-07,7.223067221302149e-07,1.364449759712848e-08
Salinibacter,3.55845002473822e-06,2.9044867719557704e-05,0.01733424879611435,0.9826132095497634,1.4180358095048366e-05,3.0855118631270223e-07,7.012818680990361e-07,2.7909211131026224e-06,1.8451846890137634e-06
Desulfocapsa,2.4848889407769662e-05,0.00018061014159706642,0.09125900404804743,0.9082121785073132,5.154314386630624e-05,3.340086662137495e-05,1.668744208144185e-05,6.107192099529904e-05,0.00015979236245484925
Marinomonas,0.023127027780257214,0.4475452770043597,0.5265599160942203,0.0025113642585773564,3.0716514078648976e-05,8.438547463124814e-05,2.9168289429930915e-05,9.548416109513232e-05,1.0431481629827841e-05
Erysipelotrichaceae UCG-003,5.581162784308027e-06,9.440731316087738e-06,0.02986782515075607,0.97003171471934,6.788288204028255e-05,2.6274464850888783e-06,9.467847213121961e-06,4.771476284991093e-06,3.2893438500460997e-07
SUP05 cluster,1.5850871449546082e-05,0.005540951886997428,0.05962850559394713,0.9347610155250848,1.0429626178241174e-05,3.84551947481184e-06,4.517148061630161e-06,7.359266121809954e-06,2.6957162758422116e-05
Bryobacter,2.825000438060049e-06,0.006919307960843362,0.44090045144223394,0.5521312884262534,1.4090562246450737e-05,5.01411438507005e-06,3.7551644318239842e-06,1.8935663697058823e-05,3.972197804607948e-06
Flavobacterium,5.472272015221879e-06,5.18450008416251e-05,0.01248079047913043,0.985044250203993,3.723572379544896e-06,2.8339672344753776e-06,1.5177357259823113e-06,0.0024087501397435135,6.778482647761333e-07
Lachnospiraceae NK4A136 group,3.1722758420984925e-08,8.958627815465653e-07,0.053463757230266015,0.9465331640491103,4.677357095996258e-07,9.869017850625132e-07,5.827103905574828e-07,1.061921426397782e-07,7.27233072732096e-09
Prevotella 7,1.2102847135013865e-07,0.0018243950127146433,0.03808238965874889,0.9600203970518949,8.367013639841729e-07,4.993593145773717e-07,3.501708283021927e-05,3.2352422748549855e-05,3.986262644032221e-06
Lachnoclostridium 5,6.953588357763861e-09,1.2064354538163023e-08,0.0782290321698371,0.9217707532215722,1.1738407470901167e-07,2.992905749245562e-08,3.489377416578028e-08,1.2880069970654265e-08,3.2672758242564045e-10
Dorea,1.801975774058663e-08,1.5985459520777828e-07,0.034930066891355575,0.9650692759590143,2.0471837832490047e-07,6.45628420230356e-08,2.043327148064454e-07,5.436306961373553e-09,1.6692739294848836e-10
Geobacillus,2.073655266092321e-06,2.2157654135071808e-05,0.00010377762334959889,0.9997512105452967,0.00010004984397732657,2.8798223207194897e-06,1.6943276718398752e-06,1.2230115804973666e-05,3.906174371716903e-06
Actinoplanes,4.7577742924138616e-08,2.6874000776079783e-07,0.029429185859349404,0.9705679823939498,3.896902646147772e-07,2.673701401299761e-07,6.680299190667356e-07,6.863971504335397e-07,4.987301741202578e-07
Collinsella,3.379450738419915e-06,2.9425802586341923e-05,0.21053705983121437,0.7893989540763227,1.7440595326059804e-05,8.92237656974887e-06,3.024652814474955e-06,1.3682165112582493e-06,1.9127331535869172e-07
Ellin6067,1.418178028537144e-07,1.6642838603804523e-05,0.041350234061728754,0.9586326121334615,8.45415881028314e-08,2.5351561949265142e-08,3.3098406001506336e-08,8.190373292874218e-08,1.4007912244984582e-07
Bifidobacterium,8.749046767678892e-07,9.05529144946923e-06,0.047198644706978876,0.9527511529057132,2.5403647731817537e-06,1.023685239910565e-05,4.897284561204657e-06,1.533606002986775e-05,7.218285766271266e-06
Cupriavidus,1.7982224014531004e-05,7.392216792045911e-05,0.13985235473970598,0.8600544076537162,3.118324653408178e-07,1.6175416930491956e-07,1.258317217698065e-07,1.5876605701890125e-07,4.7082580478467045e-08
Bosea,1.3111616601623776e-05,5.337858416125505e-06,6.343721631597306e-06,0.9999245316492912,1.4698532502624325e-06,1.7773549739843776e-06,1.1124683123832411e-05,5.80298768222458e-06,2.8899848735309497e-05
Brevundimonas,5.439483947788722e-06,3.46039643893715e-05,0.001663448560208193,0.998225588806269,3.742632931825014e-05,3.3784708455670296e-06,2.9208705294836325e-06,5.251487542673466e-06,2.1686380877594965e-05
Actinobacillus,8.055954716103033e-07,0.00034168589116247416,0.0002499785740130647,0.9994056493711957,1.693435893046937e-07,2.062333517011393e-07,1.8844577801939587e-07,1.2633389633926235e-06,3.1321106739652735e-08
Glutamicibacter,2.0293519483941717e-07,7.630628893440102e-07,3.366842992664189e-05,0.9999635265452824,2.46234990422694e-07,3.3085998590340626e-07,2.7986840439762576e-07,6.580621554106005e-07,3.0148845500206786e-07
Prevotella 9,2.3028083893305987e-06,0.0005347424728350259,0.20925192592384784,0.7901797701393855,9.260012848920595e-07,8.492687309523636e-07,5.6103407641866636e-06,2.3149326927468426e-05,5.388829457912451e-07
Ruminococcus 2,9.239871167130923e-07,0.010103005626802948,0.06415167141712558,0.9257394414964741,7.192879910201478e-07,3.3202122237883974e-07,1.5077993859051157e-06,2.1431671062632608e-06,2.2420913216732558e-07
Roseburia,8.915240828656322e-09,5.641383016423327e-07,0.06232264339586201,0.9376758977797303,4.608541559364443e-07,7.612759597481696e-08,2.189532138123895e-07,1.2539886831748573e-07,4.307600869679333e-09
Lysinibacillus,3.326116220410733e-06,2.0657389446713684e-05,0.008720013109720388,0.9910420811149452,0.0002107528861107305,1.175147919988851e-07,1.349622060397122e-07,2.4990462052077475e-06,3.714555296455043e-07
Spirochaeta 2,2.0838984902741496e-05,0.00023682959094544238,0.043648682914997884,0.9555226286608451,7.795523908860798e-05,5.372242948849742e-05,6.0730792027113724e-05,0.0001608055728544871,0.00021682975696399372
Rothia,3.74521174543228e-08,2.157207390762389e-07,0.018689170048311936,0.981310330401871,9.74319873722069e-09,1.9351492117729702e-08,1.1025777268586738e-08,1.925008127494358e-07,1.310014481916235e-08
Anaerococcus,1.4822278932282063e-07,4.056441430312222e-06,6.257378709572013e-06,0.9999809111965675,1.2646771641820226e-07,8.40333015904534e-06,1.2892238071930697e-08,7.887674790844325e-08,3.0142162824416675e-09
Escherichia-Shigella,0.0005259071089809559,0.08394617012309775,0.8442995753209874,0.07094842367049303,0.00025089931672236536,1.0146266519031365e-07,1.6874653628009948e-07,2.8464215933801083e-05,2.465056699832442e-07
Treponema 2,8.02360266385043e-08,5.446184568838326e-06,0.006914828268259762,0.9930709968097714,6.944476058783186e-06,9.453595021356843e-07,3.351725149449737e-07,3.0114372449166167e-07,1.1911066029419685e-07
Dyadobacter,1.0350652999291787e-07,5.470078521818996e-07,0.019981447496033665,0.9800160818380347,1.0159259175889397e-07,1.2560897560270173e-07,6.636639484321836e-08,1.498312318655658e-06,2.369686712485153e-08
Cohnella,8.266527382958382e-08,3.569217722397701e-07,2.1476738356795e-05,0.9999699969034815,6.447207135216783e-07,1.448661640359762e-07,2.1302980299961147e-07,5.193344447881742e-06,1.8869869299585925e-06
Ruminiclostridium 9,1.9779496667118134e-08,1.7527284641251675e-07,0.06216393675000573,0.9378356704993537,3.564145498980129e-08,9.313123140102443e-08,3.104277168899704e-08,3.4680035436078056e-08,2.1097867538060394e-09
Deinococcus,2.230198843569195e-07,1.499768307678573e-06,0.06558443753792197,0.9344117861364496,3.225223284547645e-07,1.7650324415075105e-07,1.432312853671127e-07,8.941081768194772e-07,5.08355327575408e-07
Ruminococcaceae UCG-002,6.234876257596128e-08,1.4123746088262157e-05,0.0811878041664759,0.9187978051639062,1.4147883527644276e-07,2.2756026788800918e-08,1.7122649562728437e-08,2.1177290289642613e-08,9.925579802680173e-10
Gemmatimonas,1.101973037749807e-05,4.103727576019453e-05,0.09620815247683127,0.9034196202970575,1.5936993472914653e-05,1.3290319216866028e-05,3.7710605093438174e-05,0.00021128877708033255,4.148269328239949e-05
Veillonella,1.8241155944489482e-08,6.537783612796694e-08,2.0455228899691437e-05,0.9999535658070864,3.884117211008051e-06,1.0482531180509956e-06,4.258713100004653e-06,2.722746211536976e-06,1.398036645847015e-05
Alloprevotella,1.8642494291017556e-08,3.875420761788081e-07,4.6381544195573426e-05,0.9999522531793413,1.601976991460843e-08,9.925425112367226e-09,5.989195136052123e-08,5.968160123354795e-07,2.7492743701414943e-07
Clostridium sensu stricto 13,6.655902526645439e-07,5.13832767742094e-07,0.06996343614158111,0.9300329296200153,2.3741733649676504e-07,8.515191578747718e-08,3.68743981226363e-07,1.663075860458315e-06,9.88567862881552e-08
Ruminococcaceae UCG-005,5.562976342817564e-07,8.225104464314694e-06,0.19959190262665621,0.8003925944118592,1.137376286700244e-06,1.2560063681395897e-07,4.613735791889323e-06,6.146967121304267e-07,2.2079852504941158e-07
Colwellia,0.008002579877474601,0.684862846284203,0.03589525941226749,0.27123681782974135,7.585886261311592e-07,4.5660329132329286e-07,1.993357833592123e-07,4.6420674099920626e-07,5.60949556935237e-07
Lysobacter,0.010969486203670132,0.8897478954331735,0.04835351523890606,0.05086595699810451,1.5533795531231058e-05,5.680158191647199e-06,5.249987702360148e-06,1.172799543300491e-05,1.4294883880739293e-05
Sulfurovum,2.0630936931261844e-05,0.003422280922247994,0.4118401509008198,0.5847060167886837,1.5399823939504785e-07,5.225585433807329e-08,1.7911332217231893e-08,7.868002812848557e-07,9.908071395275108e-06
Azospirillum,3.3315098058882353e-06,9.183388068786578e-06,0.022270877695225427,0.9776887389670371,4.377014968861768e-06,3.8740113050988855e-06,5.067434762050785e-06,1.1652650068610175e-05,2.66938366112175e-06
Anaerostipes,1.1250238467432421e-06,0.00028584603210205303,0.12025148525149167,0.8794422320925095,5.28728678317945e-06,1.1244252912227234e-05,1.6760802707250692e-06,9.905451293511318e-07,1.1146062014603604e-07
Stenotrophomonas,0.013819224622492712,0.47019906334747313,0.3622985162809344,0.15362257381959127,9.269403066626725e-06,1.2188218359589262e-06,1.656556825063293e-06,7.051019728707914e-06,6.949486028251165e-06
Haloarcula,0.0003042991915768819,0.05825263880627895,0.0013309140040925677,0.6939727870145223,0.24571687145308896,0.00037075588174755194,2.102553238040107e-05,1.317801986454673e-05,2.171155885737877e-06
Cloacibacterium,9.722170483998926e-09,2.2993584498556213e-06,1.0341791798586603e-06,0.9999910751251673,2.3025631911432185e-07,1.9793266454094041e-07,3.108903398600894e-08,5.121613497348413e-06,2.6047019409127465e-10
Syntrophomonas,1.1417766958967486e-07,5.605796659049236e-07,0.00018256378386647608,0.927065548104406,0.07273841929844223,5.128124827943011e-07,5.128719767456662e-07,6.169431109550524e-07,1.1145758803720193e-05
Leptospirillum,4.180534611740659e-06,0.021200024215026432,0.0970067315934446,0.8817378279696675,7.4752401791877425e-06,2.3828922605103703e-06,3.3934443736559875e-06,1.1275927509114605e-05,2.647921662422573e-05
Woeseia,0.008870283009597996,0.6827664569930855,0.3027705507034663,0.005482245962379106,1.7633285166998744e-05,1.2742540521656863e-05,8.243537424434743e-06,1.833336684770904e-05,5.284423286648098e-05
