Published_Year,Assembly_Accession,Organism_Name,Species,Genus,Family,Order,Class,Phylum
2003,GCF_000009745.1,Vibrio vulnificus YJ016,672,662,641,135623,1236,1224
2003,GCF_000007945.1,[Haemophilus] ducreyi 35000HP,730,724,712,135625,1236,1224
2003,GCF_000195735.1,Rickettsia prowazekii str. Madrid E,782,780,775,766,28211,1224
2003,GCF_000011065.1,Bacteroides thetaiotaomicron VPI-5482,818,816,815,171549,200643,976
2003,GCF_000007585.1,Porphyromonas gingivalis W83,837,836,171551,171549,200643,976
2003,GCF_000196135.1,Wolinella succinogenes DSM 1740,844,843,72293,213849,29547,1224
2003,GCF_000009145.1,Nitrosomonas europaea ATCC 19718,915,914,206379,32003,28216,1224
2003,GCF_000195775.1,Rhodopseudomonas palustris CGA009,1076,1073,41294,356,28211,1224
2003,GCF_000007925.1,Prochlorococcus marinus subsp. marinus str. CCMP1375,1219,1218,1213,1890424,NA,1117
2003,GCF_000011465.1,Prochlorococcus marinus subsp. pastoris str. CCMP1986,1219,1218,1213,1890424,NA,1117
2003,GCF_000011485.1,Prochlorococcus marinus str. MIT 9313,1219,1218,1213,1890424,NA,1117
2003,GCF_000196055.1,Streptococcus agalactiae NEM316,1311,1301,1300,186826,91061,1239
2003,GCF_000007785.1,Enterococcus faecalis V583,1351,1350,81852,186826,91061,1239
2003,GCF_000007845.1,Bacillus anthracis str. Ames,1392,1386,186817,1385,91061,1239
2003,GCF_000007625.1,Clostridium tetani E88,1513,1485,31979,186802,186801,1239
2003,GCF_000196035.1,Listeria monocytogenes EGD-e,1639,1637,186820,1385,91061,1239
2003,GCF_000195795.1,Listeria innocua Clip11262,1642,1637,186820,1385,91061,1239
2003,GCF_000195815.1,Corynebacterium diphtheriae NCTC 13129,1717,1716,1653,85007,1760,201174
2003,GCF_000195855.1,Mycobacterium leprae TN,1769,1763,1762,85007,1760,201174
2003,GCF_000203835.1,Streptomyces coelicolor A3(2),1902,1883,2062,85011,1760,201174
2003,GCF_000007485.1,Tropheryma whipplei str. Twist,2039,2038,NA,85006,1760,201174
2003,GCF_000196075.1,Tropheryma whipplei TW08/27,2039,2038,NA,85006,1760,201174
2003,GCF_000195875.1,Mycoplasma pulmonis UAB CTIP,2107,2093,2092,2085,31969,544448
2003,GCF_000007245.1,Xylella fastidiosa Temecula1,2371,2370,32033,135614,1236,1224
2003,GCF_000007545.1,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,28901,590,543,91347,1236,1224
2003,GCF_000195995.1,Salmonella enterica subsp. enterica serovar Typhi str. CT18,28901,590,543,91347,1236,1224
2003,GCF_000007905.1,Helicobacter hepaticus ATCC 51449,32025,209,72293,213849,29547,1224
2003,GCF_000011385.1,Gloeobacter violaceus PCC 7421,33072,33071,1890422,307595,307596,1117
2003,GCF_000007605.1,Chlamydia caviae GPIC,83557,810,809,51291,204429,204428
2003,GCF_000007205.1,Chlamydia pneumoniae TW-183,83558,810,809,51291,204429,204428
2003,GCF_000006685.1,Chlamydia muridarum str. Nigg,83560,810,809,51291,204429,204428
2003,GCF_000195975.1,Synechococcus sp. WH 8102,84588,1129,1890426,1890424,NA,1117
2003,GCF_000006625.1,Ureaplasma parvum serovar 3 str. ATCC 700970,134821,2129,2092,2085,31969,544448
2003,GCF_000043285.1,Candidatus Blochmannia floridanus,203907,203804,543,91347,1236,1224
2003,GCF_000007805.1,Pseudomonas syringae pv. tomato str. DC3000,251701,286,135621,72274,1236,1224
2003,GCF_000196115.1,Rhodopirellula baltica SH 1,265606,265488,126,112,203683,203682
2003,GCF_000196155.1,Photorhabdus laumondii subsp. laumondii TTO1,2218628,29487,1903414,91347,1236,1224
2004,GCF_000009605.1,Buchnera aphidicola str. APS (Acyrthosiphon pisum),9,32199,1903409,91347,1236,1224
2004,GCF_000008185.1,Treponema denticola ATCC 35405,158,157,137,136,203692,203691
2004,GCF_000007685.1,Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130,173,171,170,1643688,203692,203691
2004,GCF_000008125.1,Thermus thermophilus HB27,274,270,188786,68933,188787,1297
2004,GCF_000091545.1,Thermus thermophilus HB8,274,270,188786,68933,188787,1297
2004,GCF_000008485.1,Legionella pneumophila subsp. pneumophila str. Philadelphia 1,446,445,444,118969,1236,1224
2004,GCF_000048645.1,Legionella pneumophila str. Paris,446,445,444,118969,1236,1224
2004,GCF_000048665.1,Legionella pneumophila str. Lens,446,445,444,118969,1236,1224
2004,GCF_000007885.1,Yersinia pestis biovar Microtus str. 91001,632,629,1903411,91347,1236,1224
2004,GCF_000196095.1,Vibrio parahaemolyticus RIMD 2210633,670,662,641,135623,1236,1224
2004,GCF_000011945.1,Anaplasma marginale str. St. Maries,770,768,942,766,28211,1224
2004,GCF_000008045.1,Rickettsia typhi str. Wilmington,785,780,775,766,28211,1224
2004,GCF_000046685.1,Bartonella quintana str. Toulouse,803,773,772,356,28211,1224
2004,GCF_000009925.1,Bacteroides fragilis YCH46,817,816,815,171549,200643,976
2004,GCF_000195755.1,Desulfovibrio vulgaris str. Hildenborough,881,872,194924,213115,28221,1224
2004,GCF_000196175.1,Bdellovibrio bacteriovorus HD100,959,958,213483,213481,1553900,1224
2004,GCF_000009725.1,Synechocystis sp. PCC 6803,1148,1142,1890428,1890424,NA,1117
2004,GCF_000009645.1,Staphylococcus aureus subsp. aureus N315,1280,1279,90964,1385,91061,1239
2004,GCF_000009665.1,Staphylococcus aureus subsp. aureus Mu50,1280,1279,90964,1385,91061,1239
2004,GCF_000011265.1,Staphylococcus aureus subsp. aureus MW2,1280,1279,90964,1385,91061,1239
2004,GCF_000011505.1,Staphylococcus aureus subsp. aureus MRSA252,1280,1279,90964,1385,91061,1239
2004,GCF_000011525.1,Staphylococcus aureus subsp. aureus MSSA476,1280,1279,90964,1385,91061,1239
2004,GCF_000011825.1,Streptococcus thermophilus LMG 18311,1308,1301,1300,186826,91061,1239
2004,GCF_000011845.1,Streptococcus thermophilus CNRZ1066,1308,1301,1300,186826,91061,1239
2004,GCF_000011285.1,Streptococcus pyogenes SSI-1,1314,1301,1300,186826,91061,1239
2004,GCF_000011665.1,Streptococcus pyogenes MGAS10394,1314,1301,1300,186826,91061,1239
2004,GCF_000008165.1,Bacillus anthracis str. Sterne,1392,1386,186817,1385,91061,1239
2004,GCF_000008445.1,Bacillus anthracis str. 'Ames Ancestor',1392,1386,186817,1385,91061,1239
2004,GCF_000007825.1,Bacillus cereus ATCC 14579,1396,1386,186817,1385,91061,1239
2004,GCF_000008005.1,Bacillus cereus ATCC 10987,1396,1386,186817,1385,91061,1239
2004,GCF_000008425.1,Bacillus licheniformis DSM 13 = ATCC 14580,1402,1386,186817,1385,91061,1239
2004,GCF_000008505.1,[Bacillus thuringiensis] serovar konkukian str. 97-27,1428,1386,186817,1385,91061,1239
2004,GCF_000009785.1,Geobacillus kaustophilus HTA426,1462,129337,186817,1385,91061,1239
2004,GCF_000009685.1,Clostridium perfringens str. 13,1502,1485,31979,186802,186801,1239
2004,GCF_000007665.1,Leifsonia xyli subsp. xyli str. CTCB07,1575,110932,85023,85006,1760,201174
2004,GCF_000011325.1,Corynebacterium glutamicum ATCC 13032,1718,1716,1653,85007,1760,201174
2004,GCF_000196335.1,Corynebacterium glutamicum ATCC 13032,1718,1716,1653,85007,1760,201174
2004,GCF_000008345.1,Cutibacterium acnes KPA171202,1747,1912216,31957,85009,1760,201174
2004,GCF_000007865.1,Mycobacterium avium subsp. paratuberculosis K-10,1764,1763,1762,85007,1760,201174
2004,GCF_000008585.1,Mycobacterium tuberculosis CDC1551,1773,1763,1762,85007,1760,201174
2004,GCF_000008405.1,Mycoplasma hyopneumoniae 232,2099,2093,2092,2085,31969,544448
2004,GCF_000008365.1,Mycoplasma mobile 163K,2118,2093,2092,2085,31969,544448
2004,GCF_000008305.1,Mesoplasma florum L1,2151,46239,33925,186328,31969,544448
2004,GCF_000006725.1,Xylella fastidiosa 9a5c,2371,2370,32033,135614,1236,1224
2004,GCF_000009905.1,Symbiobacterium thermophilum IAM 14863,2734,2733,543349,186802,186801,1239
2004,GCF_000011225.1,Mycoplasma penetrans HF-2,28227,2093,2092,2085,31969,544448
2004,GCF_000011545.1,Burkholderia pseudomallei K96243,28450,32008,119060,80840,28216,1224
2004,GCF_000011885.1,Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,28901,590,543,91347,1236,1224
2004,GCF_000007505.1,Brucella suis 1330,29461,234,118882,356,28211,1224
2004,GCF_000011605.1,Pectobacterium atrosepticum SCRI1043,29471,122277,1903410,91347,1236,1224
2004,GCF_000010065.1,Synechococcus elongatus PCC 6301,32046,1129,1890426,1890424,NA,1117
2004,GCF_000008065.1,Lactobacillus johnsonii NCC 533,33959,1578,33958,186826,91061,1239
2004,GCF_000009805.1,Nocardia farcinica IFM 10152,37329,1817,85025,85007,1760,201174
2004,GCF_000046705.1,Bartonella henselae str. Houston-1,38323,773,772,356,28211,1224
2004,GCF_000008885.1,Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,51229,51228,1903409,91347,1236,1224
2004,GCF_000046845.1,Acinetobacter sp. ADP1,62977,469,468,72274,1236,1224
2004,GCF_000196255.1,Photobacterium profundum SS9,74109,657,641,135623,1236,1224
2004,GCF_000009825.1,Bacillus clausii KSM-K16,79880,1386,186817,1385,91061,1239
2004,GCF_000011165.1,Chlamydia pneumoniae J138,83558,810,809,51291,204429,204428
2004,GCF_000025945.1,Desulfotalea psychrophila LSv54,84980,109168,213121,213118,28221,1224
2004,GCF_000011145.1,Bacillus halodurans C-125,86665,1386,186817,1385,91061,1239
2004,GCF_000009705.1,Nostoc sp. PCC 7120,103690,1177,1162,1161,NA,1117
2004,GCF_000008465.1,Idiomarina loihiensis L2TR,135577,135575,267893,135622,1236,1224
2004,GCF_000011345.1,Thermosynechococcus elongatus BP-1,146786,146785,1890426,1890424,NA,1117
2004,GCF_000011305.1,Corynebacterium efficiens YS-314,152794,1716,1653,85007,1760,201174
2004,GCF_000007745.1,[Mannheimia] succiniciproducens MBEL55E,157673,697331,712,135625,1236,1224
2004,GCF_000008025.1,Wolbachia endosymbiont of Drosophila melanogaster,163164,953,942,766,28211,1224
2004,GCF_000011245.1,Oceanobacillus iheyensis HTE831,182710,182709,186817,1385,91061,1239
2004,GCF_000025965.1,Aromatoleum aromaticum EbN1,551760,551759,75787,206389,28216,1224
2004,GCF_000196215.1,Borreliella bavariensis PBi,664662,64895,1643685,136,203692,203691
2004,GCF_000011365.1,Bradyrhizobium diazoefficiens USDA 110,1355477,374,41294,356,28211,1224
2004,GCF_000009625.1,Mesorhizobium japonicum MAFF 303099,2066070,68287,69277,356,28211,1224
2005,GCF_000011865.1,Campylobacter jejuni RM1221,197,194,72294,213849,29547,1224
2005,GCF_000026085.1,Pseudoalteromonas haloplanktis TAC125,228,53246,267888,135622,1236,1224
2005,GCF_000008145.1,Brucella abortus bv. 1 str. 9-941,235,234,118882,356,28211,1224
2005,GCF_000054005.1,Brucella abortus 2308,235,234,118882,356,28211,1224
2005,GCF_000012245.1,Pseudomonas syringae pv. syringae B728a,317,286,135621,72274,1236,1224
2005,GCF_000012105.1,Xanthomonas campestris pv. campestris str. 8004,339,338,32033,135614,1236,1224
2005,GCF_000008325.1,Methylococcus capsulatus str. Bath,414,413,403,135618,1236,1224
2005,GCF_000011685.1,Gluconobacter oxydans 621H,442,441,433,204441,28211,1224
2005,GCF_000006845.1,Neisseria gonorrhoeae FA 1090,485,482,481,206351,28216,1224
2005,GCF_000008805.1,Neisseria meningitidis MC58,487,482,481,206351,28216,1224
2005,GCF_000009885.1,Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,573,570,543,91347,1236,1224
2005,GCF_000026005.1,Ehrlichia ruminantium str. Welgevonden,779,943,942,766,28211,1224
2005,GCF_000050405.1,Ehrlichia ruminantium str. Gardel,779,943,942,766,28211,1224
2005,GCF_000050425.1,Ehrlichia ruminantium str. Welgevonden,779,943,942,766,28211,1224
2005,GCF_000012125.1,Chlamydia trachomatis A/HAR-13,813,810,809,51291,204429,204428
2005,GCF_000025985.1,Bacteroides fragilis NCTC 9343,817,816,815,171549,200643,976
2005,GCF_000012725.1,Nitrobacter winogradskyi Nb-255,913,911,41294,356,28211,1224
2005,GCF_000012565.1,Ehrlichia canis str. Jake,944,943,942,766,28211,1224
2005,GCF_000013085.1,Rhodospirillum rubrum ATCC 11170,1085,1081,41295,204441,28211,1224
2005,GCF_000012485.1,Pelodictyon luteolum DSM 273,1100,1099,191412,191411,191410,1090
2005,GCF_000012645.1,Prochlorococcus marinus str. MIT 9312,1219,1218,1213,1890424,NA,1117
2005,GCF_000012805.1,Nitrosococcus oceani ATCC 19707,1229,1227,1046,135613,1236,1224
2005,GCF_000196355.1,Nitrosospira multiformis ATCC 25196,1231,35798,206379,32003,28216,1224
2005,GCF_000009005.1,Staphylococcus aureus RF122,1280,1279,90964,1385,91061,1239
2005,GCF_000012045.1,Staphylococcus aureus subsp. aureus COL,1280,1279,90964,1385,91061,1239
2005,GCF_000011925.1,Staphylococcus epidermidis RP62A,1282,1279,90964,1385,91061,1239
2005,GCF_000009865.1,Staphylococcus haemolyticus JCSC1435,1283,1279,90964,1385,91061,1239
2005,GCF_000012705.1,Streptococcus agalactiae A909,1311,1301,1300,186826,91061,1239
2005,GCF_000011625.1,Bacillus cereus E33L,1396,1386,186817,1385,91061,1239
2005,GCF_000013105.1,Moorella thermoacetica ATCC 39073,1525,44260,186814,68295,186801,1239
2005,GCF_000026065.1,Lactobacillus sakei subsp. sakei 23K,1599,1578,33958,186826,91061,1239
2005,GCF_000008285.1,Listeria monocytogenes serotype 4b str. F2365,1639,1637,186820,1385,91061,1239
2005,GCF_000012405.1,Thermobifida fusca YX,2021,83677,83676,85012,1760,201174
2005,GCF_000012765.1,Mycoplasma capricolum subsp. capricolum ATCC 27343,2095,2093,2092,2085,31969,544448
2005,GCF_000008205.1,Mycoplasma hyopneumoniae J,2099,2093,2092,2085,31969,544448
2005,GCF_000008225.1,Mycoplasma hyopneumoniae 7448,2099,2093,2092,2085,31969,544448
2005,GCF_000008245.1,Mycoplasma synoviae 53,2109,2093,2092,2085,31969,544448
2005,GCF_000011705.1,Burkholderia mallei ATCC 23344,13373,32008,119060,80840,28216,1224
2005,GCF_000012325.1,Colwellia psychrerythraea 34H,28229,28228,267889,135622,1236,1224
2005,GCF_000012925.1,Geobacter metallireducens GS-15,28232,28231,213422,69541,28221,1224
2005,GCF_000012785.1,Burkholderia pseudomallei 1710b,28450,32008,119060,80840,28216,1224
2005,GCF_000008105.1,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,28901,590,543,91347,1236,1224
2005,GCF_000010125.1,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305,29385,1279,90964,1385,91061,1239
2005,GCF_000012205.1,Pseudomonas savastanoi pv. phaseolicola 1448A,29438,286,135621,72274,1236,1224
2005,GCF_000012525.1,Synechococcus elongatus PCC 7942,32046,1129,1890426,1890424,NA,1117
2005,GCF_000012745.1,Thiobacillus denitrificans ATCC 25259,36861,919,2008790,32003,28216,1224
2005,GCF_000006605.1,Corynebacterium jeikeium K411,38289,1716,1653,85007,1760,201174
2005,GCF_000012965.1,Sulfurimonas denitrificans DSM 1251,39766,202746,72293,213849,29547,1224
2005,GCF_000012145.1,Rickettsia felis URRWXCal2,42862,780,775,766,28211,1224
2005,GCF_000012365.1,Burkholderia thailandensis E264,57975,32008,119060,80840,28216,1224
2005,GCF_000012665.1,Desulfovibrio alaskensis G20,58180,872,194924,213115,28221,1224
2005,GCF_000009025.1,Dehalococcoides mccartyi CBDB1,61435,61434,1202464,1202465,301297,200795
2005,GCF_000011905.1,Dehalococcoides mccartyi 195,61435,61434,1202464,1202465,301297,200795
2005,GCF_000008385.1,Wolbachia endosymbiont strain TRS of Brugia malayi,80849,953,942,766,28211,1224
2005,GCF_000026025.1,Chlamydia abortus S26/3,83555,810,809,51291,204429,204428
2005,GCF_000009985.1,Magnetospirillum magneticum AMB-1,84159,13134,41295,204441,28211,1224
2005,GCF_000011745.1,Candidatus Blochmannia pennsylvanicus str. BPEN,101534,203804,543,91347,1236,1224
2005,GCF_000012625.1,Synechococcus sp. CC9605,110662,1129,1890426,1890424,NA,1117
2005,GCF_000012865.1,Carboxydothermus hydrogenoformans Z-2901,129958,129957,186814,68295,186801,1239
2005,GCF_000013045.1,Salinibacter ruber DSM 13855,146919,146918,563843,1100069,NA,976
2005,GCF_000012985.1,Hahella chejuensis KCTC 2396,158327,158481,224379,135619,1236,1224
2005,GCF_000012345.1,Candidatus Pelagibacter ubique HTCC1062,198252,198251,1655514,54526,28211,1224
2005,GCF_000007525.1,Bifidobacterium longum NCC2705,216816,1678,31953,85004,1760,201174
2005,GCF_000203875.1,Cupriavidus pinatubonensis JMP134,248026,106589,119060,80840,28216,1224
2005,GCF_000012425.1,Dechloromonas aromatica RCB,259537,73029,2008795,206389,28216,1224
2005,GCF_000204075.1,Trichormus variabilis ATCC 29413,264691,264688,1162,1161,NA,1117
2005,GCF_000012505.1,Synechococcus sp. CC9902,316279,1129,1890426,1890424,NA,1117
2005,GCF_000012305.1,Psychrobacter arcticus 273-4,334543,497,468,72274,1236,1224
2005,GCF_000012585.1,Chlorobium chlorochromatii CaD3,337090,1091,191412,191411,191410,1090
2005,GCF_000012265.1,Pseudomonas protegens Pf-5,380021,286,135621,72274,1236,1224
2005,GCF_000009165.1,Xanthomonas campestris pv. vesicatoria str. 85-10,456327,338,32033,135614,1236,1224
2005,GCF_000012945.1,Burkholderia lata,482957,32008,119060,80840,28216,1224
2006,GCF_000090965.1,Buchnera aphidicola BCc,9,32199,1903409,91347,1236,1224
2006,GCF_000012885.1,Pelobacter carbinolicus DSM 2380,19,18,213421,69541,28221,1224
2006,GCF_000012685.1,Myxococcus xanthus DK 1622,34,32,31,29,28221,1224
2006,GCF_000013945.1,Leptospira borgpetersenii serovar Hardjo-bovis str. L550,174,171,170,1643688,203692,203691
2006,GCF_000013965.1,Leptospira borgpetersenii serovar Hardjo-bovis str. JB197,174,171,170,1643688,203692,203691
2006,GCF_000015085.1,Campylobacter fetus subsp. fetus 82-40,196,194,72294,213849,29547,1224
2006,GCF_000013245.1,Helicobacter pylori HPAG1,210,209,72293,213849,29547,1224
2006,GCF_000009305.1,Helicobacter acinonychis str. Sheeba,212,209,72293,213849,29547,1224
2006,GCF_000009245.1,Francisella tularensis subsp. holarctica LVS,263,262,34064,72273,1236,1224
2006,GCF_000009325.1,Francisella tularensis subsp. tularensis FSC198,263,262,34064,72273,1236,1224
2006,GCF_000014605.1,Francisella tularensis subsp. holarctica OSU18,263,262,34064,72273,1236,1224
2006,GCF_000014645.1,Francisella tularensis subsp. novicida U112,263,262,34064,72273,1236,1224
2006,GCF_000203895.1,Paracoccus denitrificans PD1222,266,265,31989,204455,28211,1224
2006,GCF_000006765.1,Pseudomonas aeruginosa PAO1,287,286,135621,72274,1236,1224
2006,GCF_000014625.1,Pseudomonas aeruginosa UCBPP-PA14,287,286,135621,72274,1236,1224
2006,GCF_000014225.1,Pseudoalteromonas atlantica T6c,288,53246,267888,135622,1236,1224
2006,GCF_000010025.1,Xanthomonas oryzae pv. oryzae MAFF 311018,347,338,32033,135614,1236,1224
2006,GCF_000009265.1,Rhizobium leguminosarum bv. viciae 3841,384,379,82115,356,28211,1224
2006,GCF_000013705.1,Methylobacillus flagellatus KT,405,404,32011,32003,28216,1224
2006,GCF_000070465.1,Bordetella avium 197N,521,517,506,80840,28216,1224
2006,GCF_000010245.2,Escherichia coli str. K-12 substr. W3110,562,561,543,91347,1236,1224
2006,GCF_000013265.1,Escherichia coli UTI89,562,561,543,91347,1236,1224
2006,GCF_000013305.1,Escherichia coli 536,562,561,543,91347,1236,1224
2006,GCF_000014845.1,Escherichia coli APEC O1,562,561,543,91347,1236,1224
2006,GCF_000013805.1,Yersinia pestis Nepal516,632,629,1903411,91347,1236,1224
2006,GCF_000013825.1,Yersinia pestis Antiqua,632,629,1903411,91347,1236,1224
2006,GCF_000047365.1,Yersinia pseudotuberculosis IP 32953,633,629,1903411,91347,1236,1224
2006,GCF_000014805.1,Aeromonas hydrophila subsp. hydrophila ATCC 7966,644,642,84642,135624,1236,1224
2006,GCF_000011785.1,Histophilus somni 129PT,731,214906,712,135625,1236,1224
2006,GCF_000014725.1,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,863,862,68298,186802,186801,1239
2006,GCF_000013885.1,Nitrobacter hamburgensis X14,912,911,41294,356,28211,1224
2006,GCF_000014765.1,Nitrosomonas eutropha C91,916,914,206379,32003,28216,1224
2006,GCF_000013145.1,Ehrlichia chaffeensis str. Arkansas,945,943,942,766,28211,1224
2006,GCF_000013125.1,Anaplasma phagocytophilum str. HZ,948,768,942,766,28211,1224
2006,GCF_000013165.1,Neorickettsia sennetsu str. Miyayama,951,33993,942,766,28211,1224
2006,GCF_000014145.1,Cytophaga hutchinsonii ATCC 33406,985,978,89373,768507,768503,976
2006,GCF_000013365.1,Rhodopseudomonas palustris HaA2,1076,1073,41294,356,28211,1224
2006,GCF_000013685.1,Rhodopseudomonas palustris BisB5,1076,1073,41294,356,28211,1224
2006,GCF_000013745.1,Rhodopseudomonas palustris BisB18,1076,1073,41294,356,28211,1224
2006,GCF_000014825.1,Rhodopseudomonas palustris BisA53,1076,1073,41294,356,28211,1224
2006,GCF_000015125.1,Chlorobium phaeobacteroides DSM 266,1096,1091,191412,191411,191410,1090
2006,GCF_000014265.1,Trichodesmium erythraeum IMS101,1206,1205,1892252,1150,NA,1117
2006,GCF_000014445.1,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293,1245,1243,81850,186826,91061,1239
2006,GCF_000014385.1,Oenococcus oeni PSU-1,1247,46254,81850,186826,91061,1239
2006,GCF_000014505.1,Pediococcus pentosaceus ATCC 25745,1255,1253,33958,186826,91061,1239
2006,GCF_000013425.1,Staphylococcus aureus subsp. aureus NCTC 8325,1280,1279,90964,1385,91061,1239
2006,GCF_000013465.1,Staphylococcus aureus subsp. aureus USA300_FPR3757,1280,1279,90964,1385,91061,1239
2006,GCF_000014485.1,Streptococcus thermophilus LMD-9,1308,1301,1300,186826,91061,1239
2006,GCF_000013485.1,Streptococcus pyogenes MGAS9429,1314,1301,1300,186826,91061,1239
2006,GCF_000013505.1,Streptococcus pyogenes MGAS10270,1314,1301,1300,186826,91061,1239
2006,GCF_000013545.1,Streptococcus pyogenes MGAS10750,1314,1301,1300,186826,91061,1239
2006,GCF_000014545.1,Lactococcus lactis subsp. cremoris SK11,1358,1357,1300,186826,91061,1239
2006,GCF_000015065.1,Bacillus thuringiensis str. Al Hakam,1428,1386,186817,1385,91061,1239
2006,GCF_000013285.1,Clostridium perfringens ATCC 13124,1502,1485,31979,186802,186801,1239
2006,GCF_000014125.1,Clostridium novyi NT,1542,1485,31979,186802,186801,1239
2006,GCF_000014465.1,Lactobacillus brevis ATCC 367,1580,1578,33958,186826,91061,1239
2006,GCF_000014405.1,Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365,1584,1578,33958,186826,91061,1239
2006,GCF_000056065.1,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002,1584,1578,33958,186826,91061,1239
2006,GCF_000014425.1,Lactobacillus gasseri ATCC 33323 = JCM 1131,1596,1578,33958,186826,91061,1239
2006,GCF_000014525.1,Lactobacillus paracasei ATCC 334,1597,1578,33958,186826,91061,1239
2006,GCF_000008925.1,Lactobacillus salivarius UCC118,1624,1578,33958,186826,91061,1239
2006,GCF_000060285.1,Listeria welshimeri serovar 6b str. SLCC5334,1643,1637,186820,1385,91061,1239
2006,GCF_000010425.1,Bifidobacterium adolescentis ATCC 15703,1680,1678,31953,85004,1760,201174
2006,GCF_000014985.1,Mycobacterium avium 104,1764,1763,1762,85007,1760,201174
2006,GCF_000015005.1,Mycolicibacterium smegmatis MC2 155,1772,1866885,1762,85007,1760,201174
